"","Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"8053","Colorado","US","3/22/20 23:45",3,0,0,39.68864463,-105.6463118,0,"Clear Creek",8019,"Clear Creek, Colorado, US","03-22-2020"
"8054","Colorado","US","3/22/20 23:45",3,0,0,38.74745778,-106.1926573,0,"Chaffee",8015,"Chaffee, Colorado, US","03-22-2020"
"8055","Colorado","US","3/22/20 23:45",3,0,0,39.28656773,-104.1358721,0,"Elbert",8039,"Elbert, Colorado, US","03-22-2020"
"8056","Colorado","US","3/22/20 23:45",2,0,0,39.01787888,-108.469799,0,"Mesa",8077,"Mesa, Colorado, US","03-22-2020"
"8057","Colorado","US","3/22/20 23:45",2,0,0,40.10603347,-106.1178042,0,"Grand",8049,"Grand, Colorado, US","03-22-2020"
"8058","Colorado","US","3/22/20 23:45",2,0,0,40.2627981,-103.8093302,0,"Morgan",8087,"Morgan, Colorado, US","03-22-2020"
"8059","Colorado","US","3/22/20 23:45",1,1,0,38.32608609,-103.7844965,0,"Crowley",8025,"Crowley, Colorado, US","03-22-2020"
"8060","Colorado","US","3/22/20 23:45",1,0,0,39.95998787,-105.0566324,0,"Broomfield",8014,"Broomfield, Colorado, US","03-22-2020"
"8061","Colorado","US","3/22/20 23:45",1,0,0,39.120926,-105.7182065,0,"Park",8093,"Park, Colorado, US","03-22-2020"
"8062","Colorado","US","3/22/20 23:45",1,0,0,40.00346839,-102.4258673,0,"Yuma",8125,"Yuma, Colorado, US","03-22-2020"
"8063","Colorado","US","3/22/20 23:45",1,0,0,0,0,0,"Unassigned",NA,"Unassigned, Colorado, US","03-22-2020"
"8064","Colorado","US","3/22/20 23:45",1,0,0,37.82247444,-107.3004345,0,"Hinsdale",8053,"Hinsdale, Colorado, US","03-22-2020"
"8065","Colorado","US","3/22/20 23:45",1,0,0,38.40214114,-108.2639022,0,"Montrose",8085,"Montrose, Colorado, US","03-22-2020"
"8066","Colorado","US","3/22/20 23:45",1,0,0,38.00450883,-108.4020725,0,"San Miguel",8113,"San Miguel, Colorado, US","03-22-2020"
"8920","Colorado","US","3/22/20 23:45",0,0,0,37.57250606,-105.7885451,0,"Alamosa",8003,"Alamosa, Colorado, US","03-22-2020"
"8921","Colorado","US","3/22/20 23:45",0,0,0,37.19474156,-107.0476867,0,"Archuleta",8007,"Archuleta, Colorado, US","03-22-2020"
"8922","Colorado","US","3/22/20 23:45",0,0,0,37.31940883,-102.5603223,0,"Baca",8009,"Baca, Colorado, US","03-22-2020"
"8923","Colorado","US","3/22/20 23:45",0,0,0,37.95474293,-103.0720195,0,"Bent",8011,"Bent, Colorado, US","03-22-2020"
"8924","Colorado","US","3/22/20 23:45",0,0,0,38.82777431,-102.6032558,0,"Cheyenne",8017,"Cheyenne, Colorado, US","03-22-2020"
"8925","Colorado","US","3/22/20 23:45",0,0,0,37.201606,-106.1917488,0,"Conejos",8021,"Conejos, Colorado, US","03-22-2020"
"8926","Colorado","US","3/22/20 23:45",0,0,0,37.27732493,-105.4276548,0,"Costilla",8023,"Costilla, Colorado, US","03-22-2020"
"8927","Colorado","US","3/22/20 23:45",0,0,0,38.10883162,-105.3683478,0,"Custer",8027,"Custer, Colorado, US","03-22-2020"
"8928","Colorado","US","3/22/20 23:45",0,0,0,38.86246243,-107.8631342,0,"Delta",8029,"Delta, Colorado, US","03-22-2020"
"8929","Colorado","US","3/22/20 23:45",0,0,0,37.75208676,-108.5211585,0,"Dolores",8033,"Dolores, Colorado, US","03-22-2020"
"8930","Colorado","US","3/22/20 23:45",0,0,0,38.47362326,-105.4399667,0,"Fremont",8043,"Fremont, Colorado, US","03-22-2020"
"8931","Colorado","US","3/22/20 23:45",0,0,0,39.85646523,-105.5252597,0,"Gilpin",8047,"Gilpin, Colorado, US","03-22-2020"
"8932","Colorado","US","3/22/20 23:45",0,0,0,37.68473101,-104.9612585,0,"Huerfano",8055,"Huerfano, Colorado, US","03-22-2020"
"8933","Colorado","US","3/22/20 23:45",0,0,0,40.6659387,-106.3408905,0,"Jackson",8057,"Jackson, Colorado, US","03-22-2020"
"8934","Colorado","US","3/22/20 23:45",0,0,0,38.43260896,-102.7392145,0,"Kiowa",8061,"Kiowa, Colorado, US","03-22-2020"
"8935","Colorado","US","3/22/20 23:45",0,0,0,39.30497777,-102.6022199,0,"Kit Carson",8063,"Kit Carson, Colorado, US","03-22-2020"
"8936","Colorado","US","3/22/20 23:45",0,0,0,37.28632032,-107.8429014,0,"La Plata",8067,"La Plata, Colorado, US","03-22-2020"
"8937","Colorado","US","3/22/20 23:45",0,0,0,39.20278823,-106.3555697,0,"Lake",8065,"Lake, Colorado, US","03-22-2020"
"8938","Colorado","US","3/22/20 23:45",0,0,0,37.3153406,-104.0376458,0,"Las Animas",8071,"Las Animas, Colorado, US","03-22-2020"
"8939","Colorado","US","3/22/20 23:45",0,0,0,38.98749519,-103.5136649,0,"Lincoln",8073,"Lincoln, Colorado, US","03-22-2020"
"8940","Colorado","US","3/22/20 23:45",0,0,0,40.7249637,-103.110817,0,"Logan",8075,"Logan, Colorado, US","03-22-2020"
"8941","Colorado","US","3/22/20 23:45",0,0,0,37.66954283,-106.9281698,0,"Mineral",8079,"Mineral, Colorado, US","03-22-2020"
"8942","Colorado","US","3/22/20 23:45",0,0,0,40.61810999,-108.2070876,0,"Moffat",8081,"Moffat, Colorado, US","03-22-2020"
"8943","Colorado","US","3/22/20 23:45",0,0,0,37.33859579,-108.5958857,0,"Montezuma",8083,"Montezuma, Colorado, US","03-22-2020"
"8944","Colorado","US","3/22/20 23:45",0,0,0,37.9014485,-103.7173385,0,"Otero",8089,"Otero, Colorado, US","03-22-2020"
"8945","Colorado","US","3/22/20 23:45",0,0,0,38.14717457,-107.7675136,0,"Ouray",8091,"Ouray, Colorado, US","03-22-2020"
"8946","Colorado","US","3/22/20 23:45",0,0,0,40.59414277,-102.3577703,0,"Phillips",8095,"Phillips, Colorado, US","03-22-2020"
"8947","Colorado","US","3/22/20 23:45",0,0,0,37.95544985,-102.3926052,0,"Prowers",8099,"Prowers, Colorado, US","03-22-2020"
"8948","Colorado","US","3/22/20 23:45",0,0,0,39.97913541,-108.2179009,0,"Rio Blanco",8103,"Rio Blanco, Colorado, US","03-22-2020"
"8949","Colorado","US","3/22/20 23:45",0,0,0,37.5836865,-106.3847838,0,"Rio Grande",8105,"Rio Grande, Colorado, US","03-22-2020"
"8950","Colorado","US","3/22/20 23:45",0,0,0,38.08054629,-106.282466,0,"Saguache",8109,"Saguache, Colorado, US","03-22-2020"
"8951","Colorado","US","3/22/20 23:45",0,0,0,37.76248981,-107.6763289,0,"San Juan",8111,"San Juan, Colorado, US","03-22-2020"
"8952","Colorado","US","3/22/20 23:45",0,0,0,40.87595412,-102.3519227,0,"Sedgwick",8115,"Sedgwick, Colorado, US","03-22-2020"
"8953","Colorado","US","3/22/20 23:45",0,0,0,38.88133511,-105.1614893,0,"Teller",8119,"Teller, Colorado, US","03-22-2020"
"8954","Colorado","US","3/22/20 23:45",0,0,0,39.97015535,-103.202587,0,"Washington",8121,"Washington, Colorado, US","03-22-2020"
"8978","Georgia","US","3/22/20 23:45",0,0,0,31.74847232,-82.28909114,0,"Appling",13001,"Appling, Georgia, US","03-22-2020"
"8979","Georgia","US","3/22/20 23:45",0,0,0,31.29633502,-82.87545866,0,"Atkinson",13003,"Atkinson, Georgia, US","03-22-2020"
"8980","Georgia","US","3/22/20 23:45",0,0,0,31.55456473,-82.45936528,0,"Bacon",13005,"Bacon, Georgia, US","03-22-2020"
"8981","Georgia","US","3/22/20 23:45",0,0,0,31.32669878,-84.44218806,0,"Baker",13007,"Baker, Georgia, US","03-22-2020"
"8982","Georgia","US","3/22/20 23:45",0,0,0,34.35607081,-83.49644388,0,"Banks",13011,"Banks, Georgia, US","03-22-2020"
"8983","Georgia","US","3/22/20 23:45",0,0,0,31.76095874,-83.22145359,0,"Ben Hill",13017,"Ben Hill, Georgia, US","03-22-2020"
"8984","Georgia","US","3/22/20 23:45",0,0,0,31.27590016,-83.2252992,0,"Berrien",13019,"Berrien, Georgia, US","03-22-2020"
"8985","Georgia","US","3/22/20 23:45",0,0,0,32.43829035,-83.33035166,0,"Bleckley",13023,"Bleckley, Georgia, US","03-22-2020"
"8986","Georgia","US","3/22/20 23:45",0,0,0,31.19576557,-81.97743999,0,"Brantley",13025,"Brantley, Georgia, US","03-22-2020"
"8987","Georgia","US","3/22/20 23:45",0,0,0,30.83922642,-83.58303423,0,"Brooks",13027,"Brooks, Georgia, US","03-22-2020"
"8988","Georgia","US","3/22/20 23:45",0,0,0,32.00979311,-81.44002948,0,"Bryan",13029,"Bryan, Georgia, US","03-22-2020"
"8989","Georgia","US","3/22/20 23:45",0,0,0,32.39577406,-81.74811421,0,"Bulloch",13031,"Bulloch, Georgia, US","03-22-2020"
"8990","Georgia","US","3/22/20 23:45",0,0,0,33.05917989,-81.99928721,0,"Burke",13033,"Burke, Georgia, US","03-22-2020"
"8991","Georgia","US","3/22/20 23:45",0,0,0,31.53169785,-84.62725131,0,"Calhoun",13037,"Calhoun, Georgia, US","03-22-2020"
"8992","Georgia","US","3/22/20 23:45",0,0,0,30.92951916,-81.66601818,0,"Camden",13039,"Camden, Georgia, US","03-22-2020"
